iter	RMSE
0	595416.7671
1	590682.7478
2	586060.5443
3	581237.5573
4	576752.5256
5	572329.3236
6	567999.5731
7	563774.3774
8	559613.9044
9	555544.0361
10	551513.5192
11	547578.1338
12	543577.0142
13	539714.328
14	535962.0605
15	532303.3217
16	528714.2678
17	524829.0933
18	521320.4651
19	517611.6664
20	514227.613
21	510945.6659
22	507719.0883
23	504541.8051
24	501444.1693
25	498127.6487
26	495124.9312
27	492187.6644
28	489329.5303
29	486464.3333
30	483372.0776
31	480673.6893
32	473418.3319
33	470769.7083
34	468156.2906
35	465624.0192
36	463132.5406
37	460698.7062
38	458296.2609
39	455648.8774
40	453328.9757
41	450751.755
42	444543.4573
43	442354.0781
44	439891.0871
45	437516.2887
46	435434.3756
47	433413.0922
48	431157.4262
49	429204.9151
50	426973.8828
51	424864.8966
52	422797.8722
53	420974.6467
54	415668.1007
55	409320.8396
56	407330.218
57	405381.2326
58	403497.536
59	401545.814
60	395576.9798
61	393785.2611
62	388362.8257
63	386796.6253
64	381521.2838
65	379799.4723
66	378140.1854
67	376622.1395
68	375006.7329
69	373632.83
70	372051.0383
71	370514.811
72	364600.7294
73	363071.4469
74	361861.5588
75	356990.3859
76	352341.8361
77	348818.9257
78	347451.4359
79	346196.4792
80	341634.3368
81	339810.9533
82	338530.8362
83	337280.5852
84	332948.92
85	331704.1571
86	330666.8717
87	329499.1025
88	325157.8474
89	324167.0759
90	323092.1791
91	322137.06
92	321218.8117
93	320297.7202
94	319264.9367
95	318385.5519
96	314796.1203
97	311043.3542
98	310212.9045
99	309398.9545
100	308599.3485
101	307795.6382
102	304135.0903
103	301285.0193
104	300391.7179
105	299441.653
106	298596.6754
107	297938.4964
108	297245.5022
109	296452.286
110	295668.472
111	292697.9779
112	289355.2426
113	286727.4657
114	286108.8486
115	282286.1682
116	281683.6255
117	278723.4308
118	278140.1977
119	277455.7969
120	276815.5167
121	276115.2062
122	275468.8387
123	274871.5986
124	273951.2299
125	272053.0414
126	271104.7889
127	268351.6403
128	267189.5324
129	266646.8922
130	266091.9419
131	265648.877
132	265116.7529
133	262584.8418
134	262007.4825
135	261499.8989
136	261020.5953
137	260500.2916
138	258334.0561
139	256155.471
140	255695.1294
141	255193.9092
142	254678.1902
143	251850.8419
144	249699.3029
145	249276.974
146	248753.7256
147	248355.8566
148	247914.3432
149	247488.0614
150	244983.9321
151	244587.6723
152	242502.6122
153	242077.8434
154	241663.931
155	239797.2749
156	237886.0101
157	237336.969
158	236958.1278
159	236538.1593
160	236139.304
161	234570.5752
162	234278.6295
163	233935.9882
164	233526.7565
165	233130.1758
166	231304.4322
167	230974.4351
168	230624.363
169	228708.0696
170	228335.0989
171	226854.6751
172	225145.95
173	224778.7018
174	222808.5927
175	222453.6689
176	222102.8702
177	221758.9373
178	221418.9797
179	221083.7976
180	220753.5068
181	219063.8503
182	217592.5025
183	217280.2199
184	216977.0545
185	216673.6804
186	215143.109
187	214867.6595
188	214575.7001
189	214297.0856
190	213151.5837
191	212881.9871
192	212605.3075
193	211063.9941
194	210794.0026
195	210537.8521
196	209220.6342
197	208963.3071
198	208709.9452
199	208464.2424
200	207078.6832
201	206837.6192
202	206602.882
203	205481.6907
204	205253.5167
205	204049.7835
206	202573.8627
207	201383.7691
208	201154.6941
209	200930.0485
210	200115.5107
211	199895.3017
212	198705.1279
213	198488.4342
214	198274.6389
215	197283.2238
216	197075.4951
217	196016.2132
218	195812.4825
219	195051.7582
220	194252.7025
221	193261.4763
222	193061.1227
223	192864.8912
224	192672.7089
225	192485.5807
226	191567.3103
227	190863.7872
228	190679.8391
229	190499.6677
230	189379.103
231	188311.223
232	188131.8898
233	187956.6734
234	186862.0439
235	186690.1844
236	185751.2209
237	184840.3479
238	184669.9534
239	184502.9415
240	184339.1622
241	184177.9632
242	183420.9428
243	183262.8057
244	183107.4612
245	182955.3239
246	182179.8244
247	182029.237
248	181270.6369
249	181122.9445
250	180319.3782
251	179446.4314
252	179300.1958
253	179157.2696
254	179016.7798
255	178879.0359
256	178075.101
257	177369.8574
258	176550.4427
259	176413.2569
260	175644.5468
261	175509.8263
262	175377.5746
263	174760.1323
264	174629.9375
265	174182.859
266	173554.8704
267	173427.1403
268	172670.2237
269	172544.6968
270	172421.8037
271	172025.8797
272	171906.1799
273	171498.3253
274	170728.0127
275	170103.4535
276	169462.6389
277	169344.6388
278	169228.7832
279	168645.6955
280	167983.8039
281	167869.1377
282	167756.8373
283	167266.4386
284	166777.6739
285	166235.8299
286	166124.5203
287	165573.9036
288	164945.1505
289	164835.493
290	164728.0796
291	164263.3873
292	163704.102
293	163597.7759
294	163118.8768
295	163014.9032
296	162912.7365
297	162337.9379
298	161947.2341
299	161847.0341
300	161444.2912
301	161345.3279
302	161247.998
303	160854.5703
304	160527.0004
305	160047.9664
306	159951.6261
307	159440.2936
308	159110.2371
309	159015.0576
310	158921.2988
311	158829.0819
312	158265.0092
313	158149.1567
314	157778.2402
315	157317.2473
316	157226.3365
317	157136.5497
318	157048.4327
319	156927.2589
320	156566.8509
321	156458.5203
322	156035.7353
323	155624.4328
324	155246.2696
325	155159.9954
326	154848.2765
327	154763.3559
328	154679.6263
329	154259.1726
330	153790.2853
331	153445.2393
332	153030.9493
333	152705.5654
334	152209.4544
335	152125.7233
336	152043.3019
337	151961.9081
338	151595.1957
339	151514.8806
340	151101.6126
341	150770.2978
342	150690.6227
343	150384.0118
344	150086.8629
345	150008.443
346	149734.3542
347	149656.5507
348	149323.8726
349	148968.2668
350	148891.408
351	148668.9814
352	148486.2401
353	148410.1503
354	147999.8263
355	147696.0517
356	147620.8454
357	147546.8233
358	147271.8394
359	147198.7859
360	146876.5213
361	146474.6451
362	146193.386
363	146121.0024
364	145827.5495
365	145564.1227
366	145274.519
367	145202.8562
368	144839.8326
369	144769.076
370	144500.3283
371	144215.1311
372	144145.2974
373	144042.7429
374	143713.1016
375	143644.9412
376	143369.0153
377	143301.9624
378	143019.3657
379	142747.5943
380	142464.5166
381	142212.1238
382	142145.5864
383	141907.6192
384	141644.6394
385	141579.1791
386	141229.278
387	141011.5513
388	140780.9323
389	140715.5461
390	140480.6339
391	140416.312
392	140212.582
393	140149.2645
394	139937.0517
395	139874.002
396	139721.831
397	139520.892
398	139458.7551
399	139397.2265
400	139336.5822
401	139250.6624
402	139044.1134
403	138798.6145
404	138738.3839
405	138492.6693
406	138271.5637
407	138055.4595
408	137995.9519
409	137789.051
410	137421.1955
411	137279.5465
412	137220.4392
413	137162.0799
414	136976.7565
415	136766.1422
416	136708.3479
417	136415.5238
418	136358.2675
419	136107.1398
420	136050.362
421	135781.5182
422	135485.5881
423	135429.4457
424	135152.4878
425	134880.523
426	134824.7333
427	134634.0035
428	134463.9679
429	134408.8048
430	134207.1127
431	134152.2337
432	134098.0019
433	133880.0413
434	133826.3708
435	133656.8326
436	133436.9324
437	133238.4528
438	133185.0434
439	133015.7495
440	132962.7606
441	132910.3153
442	132717.4856
443	132446.9135
444	132394.8264
445	132188.9437
446	131938.9827
447	131709.406
448	131657.5897
449	131597.1651
450	131405.9438
451	131354.8125
452	131304.2343
453	131142.8957
454	130971.1518
455	130920.8601
456	130870.5421
457	130706.4325
458	130530.6725
459	130480.7791
460	130431.3825
461	130382.3656
462	130333.6928
463	130285.321
464	130052.6783
465	130004.574
466	129845.4844
467	129788.9278
468	129534.7442
469	129486.7309
470	129439.5895
471	129384.6795
472	129337.8659
473	129284.2919
474	129238.0296
475	129039.3877
476	128986.38
477	128934.5607
478	128883.2507
479	128833.0584
480	128648.295
481	128603.2332
482	128553.8129
483	128508.9768
484	128460.682
485	128292.298
486	128004.9896
487	127960.8037
488	127916.9038
489	127741.6168
490	127576.014
491	127531.9231
492	127484.7495
493	127438.5966
494	127395.4235
495	127225.7093
496	127180.0722
497	127027.821
498	126984.9894
499	126851.6029
500	126661.3954
501	126517.7281
502	126364.5394
503	126321.9886
504	126279.6587
505	126235.2108
506	126193.1913
507	125997.963
508	125956.0098
509	125914.4046
510	125872.8073
511	125831.6486
512	125646.0113
513	125604.8714
514	125564.0536
515	125422.1773
516	125282.7338
517	125241.9615
518	125102.7564
519	125062.2067
520	124928.6998
521	124888.2188
522	124705.1801
523	124543.2615
524	124502.9026
525	124313.9446
526	124273.6996
527	123977.0274
528	123937.0391
529	123897.4531
530	123732.8595
531	123577.351
532	123406.8906
533	123367.282
534	123171.6618
535	123132.4053
536	123093.2729
537	122886.6012
538	122730.0461
539	122544.8094
540	122505.7678
541	122467.1054
542	122428.6779
543	122390.6763
544	122352.743
545	122207.1783
546	122169.3126
547	122131.805
548	121956.4669
549	121918.8088
550	121778.449
551	121741.1197
552	121539.8735
553	121426.3881
554	121389.1475
555	121352.3138
556	121207.0594
557	121170.3295
558	121133.642
559	120901.2006
560	120864.5441
561	120749.774
562	120622.5211
563	120509.8076
564	120350.7408
565	120314.4776
566	120278.4073
567	120087.0947
568	119937.8708
569	119793.9397
570	119757.75
571	119650.1859
572	119475.1856
573	119439.2245
574	119403.5941
575	119187.1424
576	119151.7539
577	119116.5606
578	118915.4561
