iter	Passed	Remaining
0	3	1839
1	5	1788
2	9	1843
3	12	1791
4	14	1780
5	17	1738
6	20	1758
7	23	1715
8	26	1714
9	28	1697
10	31	1682
11	34	1671
12	36	1664
13	39	1674
14	42	1657
15	45	1657
16	48	1652
17	50	1641
18	53	1648
19	56	1638
20	59	1643
21	62	1636
22	65	1633
23	67	1629
24	70	1629
25	73	1628
26	76	1622
27	80	1635
28	82	1627
29	85	1630
30	88	1623
31	91	1620
32	94	1621
33	97	1617
34	99	1612
35	102	1604
36	105	1602
37	107	1596
38	110	1593
39	113	1588
40	116	1581
41	118	1577
42	121	1573
43	124	1571
44	126	1564
45	129	1555
46	132	1553
47	134	1546
48	137	1547
49	140	1545
50	142	1539
51	145	1536
52	148	1532
53	151	1534
54	154	1530
55	157	1529
56	160	1527
57	162	1522
58	165	1521
59	168	1515
60	171	1513
61	173	1508
62	176	1503
63	179	1501
64	181	1497
65	184	1496
66	187	1490
67	189	1485
68	192	1483
69	195	1478
70	198	1479
71	201	1476
72	204	1474
73	206	1469
74	209	1465
75	212	1466
76	215	1463
77	218	1462
78	221	1458
79	224	1456
80	227	1455
81	230	1454
82	233	1452
83	235	1448
84	238	1445
85	241	1441
86	244	1440
87	246	1435
88	249	1430
89	251	1427
90	254	1423
91	257	1421
92	260	1417
93	262	1412
94	265	1409
95	268	1410
96	272	1412
97	275	1408
98	278	1406
99	280	1403
100	283	1400
101	286	1398
102	289	1398
103	293	1399
104	296	1398
105	299	1397
106	304	1403
107	312	1421
108	316	1426
109	326	1453
110	329	1453
111	332	1450
112	335	1446
113	338	1443
114	341	1438
115	343	1435
116	347	1434
117	350	1432
118	353	1428
119	356	1425
120	359	1421
121	361	1417
122	364	1415
123	367	1411
124	371	1411
125	374	1407
126	377	1405
127	379	1400
128	382	1398
129	385	1394
130	388	1391
131	391	1389
132	396	1390
133	399	1389
134	403	1389
135	406	1386
136	409	1384
137	412	1382
138	416	1381
139	419	1379
140	423	1377
141	426	1374
142	429	1373
143	432	1370
144	435	1368
145	439	1366
146	442	1362
147	445	1360
148	448	1356
149	451	1355
150	455	1353
151	458	1350
152	460	1346
153	463	1343
154	466	1339
155	469	1335
156	471	1331
157	474	1327
158	477	1324
159	480	1320
160	482	1316
161	485	1312
162	488	1308
163	491	1305
164	493	1302
165	496	1298
166	499	1294
167	502	1291
168	504	1286
169	507	1282
170	510	1280
171	513	1277
172	516	1274
173	518	1269
174	521	1266
175	524	1262
176	526	1259
177	530	1256
178	532	1252
179	535	1248
180	537	1245
181	540	1241
182	543	1238
183	546	1234
184	549	1231
185	551	1227
186	554	1224
187	557	1221
188	559	1217
189	562	1213
190	565	1210
191	567	1206
192	570	1202
193	573	1199
194	576	1197
195	578	1193
196	581	1190
197	584	1186
198	587	1183
199	589	1179
200	592	1175
201	595	1172
202	597	1168
203	600	1164
204	602	1161
205	605	1157
206	608	1155
207	611	1151
208	613	1147
209	616	1144
210	618	1140
211	621	1137
212	623	1133
213	626	1130
214	629	1127
215	632	1123
216	635	1120
217	637	1117
218	640	1113
219	643	1111
220	645	1107
221	648	1104
222	651	1100
223	653	1096
224	655	1093
225	658	1089
226	661	1086
227	663	1083
228	666	1079
229	669	1076
230	671	1073
231	675	1070
232	677	1067
233	680	1064
234	683	1061
235	686	1058
236	688	1054
237	691	1051
238	694	1048
239	696	1044
240	699	1042
241	702	1039
242	705	1035
243	708	1033
244	710	1030
245	714	1027
246	717	1025
247	721	1023
248	725	1022
249	729	1021
250	733	1019
251	736	1017
252	740	1015
253	743	1012
254	746	1010
255	749	1007
256	753	1005
257	756	1002
258	759	1000
259	762	997
260	765	994
261	768	991
262	771	988
263	774	985
264	777	982
265	780	980
266	783	977
267	786	974
268	789	971
269	792	968
270	795	965
271	798	962
272	801	959
273	804	956
274	807	954
275	810	951
276	813	948
277	816	945
278	819	943
279	822	940
280	826	938
281	829	935
282	832	932
283	835	929
284	837	926
285	841	923
286	843	920
287	846	917
288	849	914
289	852	911
290	855	908
291	859	906
292	862	903
293	865	900
294	868	897
295	871	895
296	874	892
297	877	888
298	880	886
299	882	882
300	885	879
301	888	876
302	891	874
303	895	871
304	897	868
305	900	865
306	903	862
307	907	859
308	909	856
309	913	854
310	915	851
311	919	848
312	922	845
313	926	843
314	929	840
315	932	838
316	935	835
317	938	832
318	941	829
319	944	826
320	947	823
321	950	820
322	953	817
323	956	814
324	959	811
325	962	808
326	965	805
327	968	802
328	971	800
329	974	796
330	977	794
331	979	791
332	982	788
333	985	785
334	988	781
335	991	779
336	994	775
337	997	773
338	1000	769
339	1003	767
340	1006	764
341	1008	761
342	1011	758
343	1014	754
344	1017	751
345	1019	748
346	1022	745
347	1025	742
348	1028	739
349	1031	736
350	1033	733
351	1037	730
352	1039	727
353	1042	724
354	1045	721
355	1048	718
356	1051	715
357	1053	712
358	1056	709
359	1059	706
360	1061	703
361	1065	700
362	1067	697
363	1071	694
364	1073	691
365	1076	688
366	1079	685
367	1082	682
368	1084	679
369	1087	676
370	1090	673
371	1093	669
372	1096	667
373	1098	663
374	1101	660
375	1104	657
376	1107	654
377	1110	652
378	1113	649
379	1116	646
380	1119	643
381	1122	640
382	1124	637
